,Writer Name,IPI,PRO
831,SYLVERS NIDRA E,125193492,ASCAP
838,JACKSON RENWICK E,52326111,BMI
846,VAN HORSSEN LINDA E,128676546,ASCAP
851,GREEN REGINALD M,129405973,ASCAP
852,JUSTIN SIDNEY ARTHUR,344102700,ASCAP
853,MILLER EDDIE ,20843414,BMI
854,LOGGINS KENNETH CLARK,40500734,ASCAP
858,WIGGINS DON ETIENNE,333924858,ASCAP
860,OLAND PAMELA PHILLIPS,129640080,ASCAP
879,SMITH RICKY DARNELL,85597622,ASCAP
881,MURPHY TERRY J,125578367,NS
889,SYLVERS CHARMAINE ELAINE,52014332,ASCAP
891,DERUSO PATRICIA LYNN,43867071,ASCAP
895,THIMAN ERIC HARDING,30513728,PRS
897,JACKSON RICHARD DON,552152084,ASCAP
898,MASTERSON DAVID LEIBRANDT,544541752,ASCAP
899,MCCOY ERIC BRANNEN,717445732,BMI
907,LESLIE DOMINICK ,125300426,ASCAP
910,CLAYBORN RALPH EDWARD,60553300,NS
920,BRANTLEY VINCENT E,122549884,ASCAP
922,SYLVERS JOSEPH RICHARD,43866858,ASCAP
924,GRIFFEY DICK ,4565601,NS
934,MACKLIN TYALLEN ,339064851,ASCAP
938,REED EARNEST LINDSEY,41625504,BMI
940,STOKES OTIS ,75276165,ASCAP
941,BROWN HERMAN L,45363390,NS
957,GAZELEY DOROTHY SEA,51259986,ASCAP
958,MURPHY TERRY ,78129359,BMI
970,MOY SYLVIA ROSE,21683895,BMI
971,WONDER STEVIE  ,33189687,ASCAP
974,GAMBOA ISAIAS ,125291395,ASCAP
979,BABBS DURRELL ,347975608,ASCAP
985,VALENTINE J ,350468467,ASCAP
986,GRAY JOHN EDWARD,486901618,ASCAP
987,JONES DEDRIC CLINTON,459820817,ASCAP
989,CLARK ERNEST ,451063194,ASCAP
990,EBONG UFORO IMEH,505508475,ASCAP
991,PALACIOS MARCOS ENRIQUE,483927414,ASCAP
992,RANDOLPH KEVIN LAMONT,338698411,ASCAP
1001,BEREAL LONNY  ,435627550,ASCAP
1002,FRANKLIN JERRY NELSON,478556206,ASCAP
1003,JONES T HAI OLIVIA,194870039,BMI
1004,MASON HARVEY JR  ,341972555,SESAC
1005,NEWT ROBERT N,250916182,BMI
1006,STEPHENS KRISTINA MARIE,513958146,ASCAP
1010,THOMAS DAMON E,337384056,BMI
1011,TANKERSON RHONDA NICOLE,604042105,ASCAP
