id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1QO5AZ8YYKJtiIczV8VXFI,0.709,0.421,7,-11.865,1,0.0874,0.759,0,0.722,0.705,119.158,306933,4
4OGHz6ykDh22kSwRpHNePW,0.665,0.482,7,-11.585,0,0.143,0.752,0,0.912,0.86,101.495,215133,1
3EC7AzV6p8ad56pN2BzCBG,0.604,0.554,2,-12.6,1,0.228,0.828,0,0.644,0.659,123.661,207467,4
1MkoDZGHIBwg0f2QSEO8WK,0.505,0.403,8,-12.125,1,0.129,0.85,0,0.661,0.382,93.871,197333,4
5V8GdzNrkcyyUs2NaBiWDL,0.408,0.349,0,-11.58,1,0.251,0.89,0,0.331,0.579,91.3,76929,3
2Q7LpkYrS0PBpoq3iCqypa,0.309,0.831,1,-8.288,1,0.036,0.488,0.00304,0.286,0.934,181.145,288160,4
1hUe1XOcM5iXaWG6NRtLzG,0.393,0.542,7,-9.545,1,0.0318,0.202,0.0148,0.187,0.666,189.647,180067,4
7kl337nuuTTVcXJiQqBgwJ,0.314,0.855,2,-7.907,1,0.034,0.447,0.854,0.173,0.855,104.983,451160,4
5JBUpI6OGZahUqchMKe6UY,0.315,0.64,4,-9.256,0,0.0339,0.329,0.341,0.0879,0.583,97.968,317438,4
7a014uMHF3nlqzXCxV551C,0.494,0.503,10,-7.576,1,0.0274,0.283,0.00999,0.081,0.556,136.655,403333,4
7uhGHDIJCKP5mbC0WidMAS,0.5,0.552,9,-11.487,1,0.0271,0.484,0.00116,0.292,0.876,95.264,309387,4
1hHzmUP61nqVSyVHruv3jZ,0.468,0.701,3,-11.924,1,0.045,0.0964,0.00226,0.183,0.777,91.694,220587,4
4bltr2sgQOeU13onNoHUTc,0.546,0.425,4,-13.111,1,0.0257,0.138,9.45e-06,0.0615,0.514,83.151,234467,4
4hRSKLxWptKUvKF7wr60B2,0.404,0.853,9,-8.086,1,0.0456,0.15,0.246,0.307,0.66,103.41,550693,4
6qsIvR5nOciPp7ci0M3NNj,0.311,0.745,7,-7.802,1,0.0474,0.186,3.2e-05,0.911,0.293,129.095,538760,4
1DViQw0p1vo0eAMRlUF4Lr,0.613,0.464,1,-8.918,1,0.0241,0.176,0,0.103,0.176,139.802,275773,4
3Hp3C1RbT32Wco0dFCpz5O,0.584,0.63,1,-6.125,1,0.0288,0.363,0.00119,0.163,0.222,139.987,288250,4
00rd6vxwcg4so4ZuxcEHN9,0.848,0.577,10,-10.07,0,0.103,0.08,0,0.369,0.674,96.045,251707,4
3Vqi9EyGo1G38Klj6vt4bM,0.61,0.371,1,-12.874,1,0.0257,0.203,0,0.117,0.177,139.859,222333,4
11sjl55BV8FIxN4qIqebPB,0.233,0.31,10,-9.621,1,0.0311,0.746,1.8e-06,0.195,0.0567,173.416,259400,4
5nlI8ZEDagyDvy0jaJ38lx,0.784,0.534,6,-10.36,1,0.228,0.125,0,0.0927,0.735,95.93,225560,4
628CNC0r3Cux9RVrEW5kzD,0.794,0.496,2,-6.561,1,0.08,0.111,2.04e-05,0.21,0.662,140.151,296200,4
140k5LkRbEO2E6M0KmebXM,0.626,0.575,11,-6.027,0,0.336,0.266,0,0.16,0.525,102.956,308667,4
1WNx6wxgHfQDaWx2tFvXyV,0.74,0.708,10,-7.534,1,0.0448,0.144,0,0.221,0.621,96.044,211640,4
6QoWqiaRGI2F8ywtBW2Els,0.83,0.643,7,-10.259,0,0.0454,0.0574,0.00112,0.165,0.885,95.887,234267,4
3n69hLUdIsSa1WlRmjMZlW,0.616,0.656,5,-7.298,1,0.0344,0.096,0.000879,0.205,0.286,150.071,227080,4
4iEOVEULZRvmzYSZY2ViKN,0.697,0.877,3,-4.465,1,0.0462,0.462,0.00943,0.083,0.802,101.99,173631,4
