id,name,popularity,followers,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,genre_10,genre_11,genre_12,genre_13,genre_14,genre_15,genre_16,genre_17,genre_18
454VBUMshEg0sxzoWKTYbT,Another Bad Creation,30,22834,'boy band', 'new jack swing',,,,,,,,,,,,,,,,,
2DzRMyWgjuMbYvt5BLbpCo,Anthony Hamilton,63,703639,'dance pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul', 'urban contemporary',,,,,,,,,,,,
3JysSUOyfVs1UQ0UaESheP,Anthrax,59,600909,'album rock', 'alternative metal', 'groove metal', 'hard rock', 'metal', 'nu metal', 'rap metal', 'rap rock', 'rock', 'speed metal', 'thrash metal',,,,,,,,
1JHzh1ETQTMoFb2CgncnTL,April Wine,48,115520,'album rock', 'canadian indie', 'classic canadian rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock',,,,,,,,,,
6kBjAFKyd0he7LiA5GQ3Gz,Aqua,62,182801,'bubblegum dance', 'dance pop', 'eurodance', 'europop',,,,,,,,,,,,,,,
3kjuyTCjPG1WMFCiyc5IuB,Arcade Fire,72,1344428,'canadian indie', 'chamber pop', 'garage rock', 'indie folk', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'permanent wave', 'rock',,,,,,,,,
2HMuzFmTtwL4ur1zJNCU7f,Arcadia,31,13082,'dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop',,,,,,,,,,,,,,
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,85,6579285,'garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie',,,,,,,,,,,,,,
7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,78,1548975,'christmas', 'classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul',,,,,,,,,,,,,
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,95,18830766,'dance pop', 'pop', 'post-teen pop',,,,,,,,,,,,,,,,
0B6QEFtRnneEzb4iqjI0Nw,Arlo Guthrie,45,57596,'folk', 'folk rock', 'mellow gold', 'roots rock', 'singer-songwriter', 'traditional folk',,,,,,,,,,,,,
5Va9LuEmaZxnbk1gMnjMD7,Arrested Development,51,74606,'conscious hip hop', 'hip hop', 'rap',,,,,,,,,,,,,,,,
6kEsKkXuE4olX7m3mNLZkS,Art Garfunkel,50,164960,'adult standards', 'folk', 'folk rock', 'mellow gold', 'soft rock', 'traditional folk',,,,,,,,,,,,,
5rkVyNGXEgeUqKkB5ccK83,Ashanti,72,1287917,'dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary',,,,,,,,,,
2EURsXo9qlt1aMWlviGCRi,Ashford & Simpson,48,141589,'classic soul', 'disco', 'funk', 'jazz funk', 'motown', 'post-disco', 'quiet storm', 'soul', 'urban contemporary',,,,,,,,,,
4hqDqHtBlgxXpLXVYf7c8L,Ashlee Simpson,53,319233,'dance pop', 'pop rock', 'post-teen pop',,,,,,,,,,,,,,,,
2ddxtfC0oS8LoktXUHE7YL,Ashley Tisdale,58,479679,'dance pop', 'pop', 'post-teen pop', 'viral pop',,,,,,,,,,,,,,,
1bdytLV3FPjyhfrb6BhMej,Asia,55,177284,'album rock', 'art rock', 'hard rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock',,,,,,,,,,,
0WgyCbru4tXnMsbTmX4mFw,Atlanta Rhythm Section,51,71233,'album rock', 'art rock', 'blues-rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'southern rock',,,,,,,
